Timestamp,Value,Type
18:45:03.290,"-0.077,0.357,-2.418,103.760,-83.679,-32.288\r\n",received
18:45:03.305,"-0.329,0.141,-2.095,158.203,-315.002,-63.110\r\n",received
18:45:03.322,"-0.923,-0.531,-0.582,157.532,-414.185,-65.613\r\n",received
18:45:03.338,"-1.256,-0.747,0.232,94.543,-536.194,-27.283\r\n",received
18:45:03.354,"-1.828,-0.571,2.526,79.956,-579.895,-3.845\r\n",received
18:45:03.369,"-1.872,-0.435,3.728,121.399,-523.926,3.418\r\n",received
18:45:03.385,"-1.366,-0.466,4.000,144.531,-379.028,5.737\r\n",received
18:45:03.385,"-1.102,-0.469,3.918,58.777,-41.565,28.137\r\n",received
18:45:03.402,"-0.788,-0.034,2.581,50.415,39.246,46.082\r\n",received
18:45:03.418,"-0.711,0.222,2.175,64.270,49.072,51.514\r\n",received
18:45:03.434,"-0.658,0.263,2.163,52.429,14.832,21.729\r\n",received
18:45:03.482,"-0.587,0.078,2.268,32.837,25.696,11.841\r\n",received
18:45:03.482,"-0.548,0.076,2.140,25.146,74.036,12.268\r\n",received
18:45:03.482,"-0.436,0.133,1.653,31.311,96.436,11.902\r\n",received
18:45:03.497,"-0.376,0.129,1.338,23.926,117.920,5.798\r\n",received
18:45:03.513,"-0.269,0.093,0.945,14.648,113.037,1.709\r\n",received
18:45:03.529,"-0.222,0.022,0.855,7.385,104.675,-1.892\r\n",received
18:45:03.529,"-0.158,-0.022,0.718,5.249,91.187,2.625\r\n",received
18:45:03.546,"-0.139,0.020,0.668,7.324,85.388,7.324\r\n",received
18:45:03.561,"-0.122,0.043,0.642,7.141,72.571,7.874\r\n",received
18:45:03.577,"-0.093,-0.035,0.607,3.601,66.162,6.409\r\n",received
18:45:03.593,"-0.082,-0.041,0.606,-3.296,50.171,11.414\r\n",received
18:45:03.609,"-0.083,0.063,0.622,-12.024,41.565,13.611\r\n",received
18:45:03.625,"-0.093,0.112,0.651,-33.508,22.156,9.460\r\n",received
18:45:03.641,"-0.113,0.134,0.783,-40.527,12.817,5.371\r\n",received
18:45:03.657,"-0.120,0.117,0.870,-43.396,5.859,2.014\r\n",received
18:45:03.673,"-0.125,0.103,0.946,-38.025,2.380,1.526\r\n",received
18:45:03.673,"-0.139,0.134,1.024,-32.898,4.333,3.540\r\n",received
18:45:03.689,"-0.145,0.176,1.044,-23.987,8.240,4.395\r\n",received
18:45:03.705,"-0.150,0.195,1.078,-21.240,9.766,1.709\r\n",received
18:45:03.721,"-0.146,0.166,1.094,-17.151,13.306,-2.869\r\n",received
18:45:03.737,"-0.131,0.124,1.103,-15.991,16.113,-3.052\r\n",received
18:45:03.754,"-0.124,0.118,1.085,-15.076,21.790,-2.441\r\n",received
18:45:03.770,"-0.112,0.127,1.049,-14.893,22.705,-2.319\r\n",received
18:45:03.786,"-0.110,0.135,1.049,-15.015,22.461,-2.869\r\n",received
18:45:03.802,"-0.107,0.099,1.073,-17.456,21.851,-5.920\r\n",received
18:45:03.818,"-0.103,0.063,1.083,-19.714,23.010,-6.958\r\n",received
18:45:03.818,"-0.096,0.050,1.075,-25.146,28.442,-3.967\r\n",received
18:45:03.834,"-0.079,0.086,0.987,-27.771,30.762,-2.686\r\n",received
18:45:03.851,"-0.069,0.089,0.946,-29.419,28.625,-3.174\r\n",received
18:45:03.868,"-0.056,0.088,0.947,-28.076,25.574,-3.052\r\n",received
18:45:03.881,"-0.051,0.084,0.949,-26.245,22.522,-1.953\r\n",received
18:45:03.897,"-0.047,0.106,0.962,-24.963,21.362,-0.732\r\n",received
18:45:03.913,"-0.044,0.126,0.961,-24.536,21.240,0.000\r\n",received
18:45:03.930,"-0.031,0.133,0.932,-24.780,20.935,-0.183\r\n",received
18:45:03.945,"-0.027,0.146,0.924,-24.292,19.958,0.366\r\n",received
18:45:03.961,"-0.023,0.167,0.905,-23.743,17.395,1.709\r\n",received
18:45:03.961,"-0.021,0.170,0.913,-23.560,14.771,1.343\r\n",received
18:45:03.977,"-0.022,0.176,0.948,-23.010,11.292,1.831\r\n",received
18:45:03.994,"-0.022,0.197,0.974,-23.315,11.841,1.892\r\n",received
18:45:04.10,"-0.021,0.205,0.969,-23.621,12.878,1.770\r\n",received
18:45:04.26,"-0.017,0.217,0.988,-24.048,12.634,1.221\r\n",received
18:45:04.42,"-0.016,0.224,0.992,-25.146,12.817,0.732\r\n",received
18:45:04.58,"-0.016,0.229,0.998,-26.794,12.817,-0.305\r\n",received
18:45:04.73,"-0.008,0.220,1.019,-26.428,13.123,-0.183\r\n",received
18:45:04.89,"-0.004,0.247,1.019,-22.644,14.404,0.916\r\n",received
18:45:04.105,"0.008,0.268,1.014,-22.034,14.771,-0.427\r\n",received
18:45:04.105,"0.015,0.244,1.016,-20.508,14.954,-2.686\r\n",received
18:45:04.121,"0.025,0.220,1.036,-18.311,15.503,-1.892\r\n",received
18:45:04.137,"0.030,0.230,1.037,-13.916,19.287,0.305\r\n",received
18:45:04.153,"0.036,0.229,0.998,-15.259,20.203,0.854\r\n",received
18:45:04.170,"0.041,0.226,1.019,-15.747,18.860,1.770\r\n",received
18:45:04.186,"0.052,0.247,1.040,-14.954,18.921,4.395\r\n",received
18:45:04.201,"0.056,0.281,1.031,-19.348,19.775,2.930\r\n",received
18:45:04.217,"0.057,0.267,1.039,-25.208,21.545,-0.061\r\n",received
18:45:04.234,"0.064,0.242,1.010,-25.574,24.170,0.732\r\n",received
18:45:04.234,"0.069,0.253,0.984,-22.644,27.649,4.333\r\n",received
18:45:04.251,"0.072,0.288,0.950,-22.339,27.832,4.761\r\n",received
18:45:04.268,"0.072,0.289,0.958,-23.437,27.283,4.028\r\n",received
18:45:04.282,"0.071,0.288,0.969,-25.452,29.602,3.357\r\n",received
18:45:04.297,"0.071,0.291,0.941,-26.184,32.715,3.784\r\n",received
18:45:04.313,"0.074,0.300,0.913,-24.292,38.208,5.127\r\n",received
18:45:04.329,"0.074,0.340,0.839,-23.315,39.551,5.859\r\n",received
18:45:04.345,"0.068,0.371,0.841,-22.278,36.560,4.272\r\n",received
18:45:04.361,"0.060,0.376,0.906,-22.156,37.720,1.648\r\n",received
18:45:04.377,"0.063,0.358,0.889,-16.663,48.950,-0.610\r\n",received
18:45:04.377,"0.066,0.456,0.828,-8.545,55.359,-1.648\r\n",received
18:45:04.394,"0.073,0.475,0.772,-1.831,61.707,-6.653\r\n",received
18:45:04.409,"0.088,0.454,0.699,6.714,69.336,-17.517\r\n",received
18:45:04.425,"0.108,0.441,0.591,13.611,69.397,-20.325\r\n",received
18:45:04.442,"0.124,0.432,0.532,23.987,68.298,-27.222\r\n",received
18:45:04.457,"0.163,0.355,0.314,26.733,64.514,-29.541\r\n",received
18:45:04.473,"0.180,0.353,0.242,41.870,40.955,-26.978\r\n",received
18:45:04.490,"0.171,0.396,0.212,48.828,26.367,-26.062\r\n",received
18:45:04.506,"0.162,0.368,0.236,54.565,13.123,-27.710\r\n",received
18:45:04.506,"0.161,0.300,0.203,61.951,0.549,-28.442\r\n",received
18:45:04.522,"0.168,0.241,-0.123,64.148,-3.540,-25.269\r\n",received
18:45:04.537,"0.169,0.192,-0.327,70.313,-30.029,-21.790\r\n",received
18:45:04.553,"0.124,0.116,-0.666,69.641,-54.321,-19.043\r\n",received
18:45:04.569,"0.059,0.041,-0.802,38.757,-132.568,-19.836\r\n",received
